,RetweetCount,Tweet,PronounFlag,UnknownFlag,AtSymbolFlag
0,464,"RT @NicoleMartin__: Me in Kentucky: I haven’t breathed clearly in 5 years theres too much pollen I hate the ohio valley
Me anywhere else: F…",0,0,1
1,0,#np: I Don’t Hate You -MaseWonder Feat. Yonko,1,0,0
2,10579,"RT @marie_brownsuga: i hate arguing through text. let's argue in person so, i can knock yo ass out.",0,0,1
3,10579,"RT @marie_brownsuga: i hate arguing through text. let's argue in person so, i can knock yo ass out.",0,0,1
4,1374,"RT @SieteWhite: Me in Texas: I hate this country ass hell hole can't wait to get OUT

Me anywhere else: The Texas flag? ICONIC. I bleed swe…",0,0,1
5,17,"RT @_ohthatstaay: i absolutely hate when people say  ""its up to you"" 🙄",0,0,1
6,0,"""I can't run away! I hate running away and leaving friends behind!""-Haru",0,0,0
7,0,Fucken hate Tuesdays at work worst headache 😴,0,0,0
8,146,"RT @JayyVonMonroe: I do NOT condone hate towards another queen. You simply can NOT call yourself a fan of mine, by dragging another. These…",0,0,1
9,12913,RT @CurlyHeadJackyy: I’m a picture hoarder 😂 lowkey hate deleting shit.,0,0,1
10,0,I hate people from the IE that get a temporary spot in LA and start complaining about it.,0,0,0
11,0,I used to hate having curly hair and now I embrace the fuck out of it 🙌🏼😜,0,0,0
12,26,"RT @murielknudson: being an artist is so weird, like, you constantly fucking hate your work but also think it’s your greatest work that you…",1,0,1
13,0,"@nukusu No,no,it's a joke. I hate you,
of course.",1,0,1
14,93,RT @mrbrownroyyal: Haters will hate but I'll congratulate Mr &amp; Mrs Daly! #KenyaMoore #RHOA #RHOA10 https://t.co/Kd5D2TysRq,0,0,1
15,0,@barstoolsports Coincidence it’s was a hate crime from alt right Trump supporters,0,0,1
16,1,"RT @karimeyy_: I hate negative ass people. take yo rude, unhappy, jealous ass self out of here with those rude ass remarks",0,0,1
17,46420,"RT @Ashton5SOS: .@Calum5SOS hate how people say bad things about you, you are one of the most beautiful, extraordinary people I know.",0,0,1
18,0,@AnEastEndBoozer @SomethingTexty Exactly one cases means you hate transgenders and men,0,0,1
19,795,"RT @WorldStarFunny: hate when ppl use their zodiac to justify shitty behavior like ""sry i can't help it im a scorpio."" no Susan you're just…",0,0,1
20,0,Hate you more than myself,1,0,0
21,125,RT @oceanvibe_: i hate ppl who get personally offended when im in a bad mood like im not mad at u susan im mad at the world,0,0,1
22,3201,"RT @AYE_ME_adelee: 13. i, hate you
https://t.co/hvoYsW7dsB",1,0,1
23,1462,RT @VanigliaGhia: Pink is legit like the best colour I feel like people get taught to hate it and then years later learn the unholy error o…,0,0,1
24,10,RT @LovableNotebook: I hate that I'm such a forgiving person. You can do me dirty and I'll still convince myself that those weren't your in…,0,0,1
25,0,"@SheainIrvingPod Yup, Texas is all in on this type of meds for kids. Why do they hate kids?",0,0,1
26,31,RT @danielthibault: J'ai hâte au jour où Justin Trudeau va pleurer en s'excusant pour ce que son père a fait au Québec.,0,0,1
27,6,"RT @ltsKardashians: Me: omfg I hate taking pictures Anyone: *pulls out their phone*
Me: https://t.co/w7Ga5NLMyO",0,0,1
28,0,I hate being sick,0,0,0
29,194,RT @ldgadamn: I am at place in life where my peace is a priority. I deliberately avoid certain people and situations just to protect my men…,0,0,1
30,0,"Oliver and Felicity hate starts in 3,2,1... #CrisisOnEarthX",0,0,0
31,0,@snapbackseavey @whydontwemusic I literally hate u for this 😭,0,0,1
32,7,RT @crrow777: Final challenge to get YT to re-instate my channel has been denied. Lunar Wave clip was the final strike yet hate speech was…,0,0,1
33,0,"I don't care that U hate #Israel, but despise that you dress it up as if you really care for Palestinians ... https://t.co/O3hZc8Ea5N 137",0,0,0
34,43,RT @jasondashbailey: There's so much to hate in David Yates's bullshit Depp defense but can we talk specifically about turning violent lang…,0,0,1
35,239,"RT @YungTorres4: Me in Oklahoma: I hate Oklahoma. There's nothing to do here.

Me anywhere else: Boomer Sooner baby. Fuck Texas. I have a t…",0,0,1
36,178,RT @RubinReport: Bunch of @splcenter people on street in Santa Monica begging for donations. Damn shame they have three of my friends on th…,0,0,1
37,9,RT @imherhitchhiker: How can someone hate her? https://t.co/XiffieOvKw,1,0,1
38,42,RT @heatherdawnmay: I send love to all. Corey needs your help &amp; support.  If you can't be supportive please just do not spread hate! No rea…,0,0,1
39,0,I love oranges but I hate peeling them 😷,0,0,0
40,0,Stayed down till I came up &amp; didn't hate on nobody during the process .... let me be great,0,0,0
41,7,"RT @nouispowerful: cara, liam recebe hate TODOS OS DIAS por causa do estilo de música que ele resolveu seguir em carreira solo e até agora…",0,0,1
42,3,RT @shmelaniiin: @TheMelaninPlug Anxiety and depression are attempting to consume my life and I hate it!! I feel like the situation is out…,0,0,1
43,0,"@realDonaldTrump Stop illegal immigrants,,enforce the law.  Democrats must be voted out.. they really hate the AMER… https://t.co/fsxqFJzx31",0,0,1
44,0,@SemperFiSig 🙄 oh god. Well one of them doesn’t hate herself while watching. It’s the one you’re married to that says she does,1,0,1
45,7,RT @sheebee18: i hate college,0,0,1
46,319,RT @addictionthings: 23. my dirty mind got this instantly i hate myself https://t.co/HUfuQwV2mF,0,1,1
47,6,"RT @nourabdelbaki: I hate talking to someone about something important and they decide not to reply, like i don’t mean to bother you but i’…",0,0,1
48,2058,"RT @krassenstein: Standard Media Index (SMI) has just released some pretty AWESOME 3rd Quarter Ad Revenue numbers that Trump will Hate.

De…",0,0,1
49,4,RT @PrincessMinaaaj: I hate when Non Fans try to tell Nicki fans what Nicki has &amp; what she doesn’t have . That’s so retarded we are the fan…,0,0,1
50,0,I hate when people try to play innocent on a situation... 😂,0,0,0
51,2,"RT @DraftTulsi: This is the love of the left. They hate Nina, Bernie &amp; Tulsi &amp; they hate us especially our kids who they send off to die in…",0,0,1
52,0,@colintj every team is gonna hate him.  super high energy which is also a whiner.,1,0,1
53,5,RT @cparham65: POTUS is too pro American!! Liberals hate him for that ALONE!! https://t.co/ryKOedLYLo,1,0,1
54,1,RT @twatisha: lmfao i hate y’all https://t.co/JvqbNpYy7t,0,0,1
55,85,RT @MelanieScrofano: This bitch didn't come to play. My donation was DOUBLED because I did it today #GivingTuesday. Perfect xmas gift for a…,0,0,1
56,0,The @Giants should be ashamed after this. Your season is over and you bench one of the classiest qbs to play the ga… https://t.co/IwpukTmC7l,0,0,1
57,253,RT @ouch: who hurt you so much that you started to hate yourself?,1,0,1
58,795,"RT @WorldStarFunny: hate when ppl use their zodiac to justify shitty behavior like ""sry i can't help it im a scorpio."" no Susan you're just…",0,0,1
59,1610,RT @HayesGrier: smile at people who hate you,1,0,1
60,4439,"RT @dismiss: you always say you hate to see me hurt, and you hate to see me cry. so all those times that you hurt me, did you close your ey…",0,0,1
61,2,RT @AlexiiaaPerez: I hate racist people I really do,0,0,1
62,0,I️ hate how I️ procrastinate a lot🙂,0,0,0
63,0,@SprBronySparkle * rolls away * imma leave because u hate me q-----q,0,0,1
64,0,seeing u dumbass boys upset people who i care about honestly makes me hate u even more and makes me wanna punch the life out of u ok gnite,0,0,0
65,868,RT @deanna_niki: I truthfully hate these annoying kids that embarrass themselves by doing stupid shit for the sake of views. It’s not even…,0,0,1
66,4,"RT @Gaxiola47: i hate how i have the softest spot for just one person, that screws you over so much.",0,0,1
67,0,Time to hate my body for a couple of hours,0,1,0
68,0,I HATE YKU SO MUCH https://t.co/Qqz0xDmlAN,0,0,0
69,0,"@ResistCM14 It would be nice if we updated census stats with new divisions to better subdivide groups.
Semitic (Heb… https://t.co/Wt1vruAWBR",0,0,1
70,0,i hate dom and i hate everyone who puts matt at the same level as him,1,0,0
71,10579,"RT @marie_brownsuga: i hate arguing through text. let's argue in person so, i can knock yo ass out.",0,0,1
72,0,"@mccoylake @SpencerFernando No , like  atypical  gutless puke #trudeau will play the ""it was a lone wolf"" card. I h… https://t.co/y8fjwiagb5",0,0,1
73,1,RT @_Alani__: i hate when I’m mad and the person knows I’m mad but don’t wanna acknowledge it which just makes me more mad than i am 😑,0,0,1
74,4,RT @bri_638: I was going to post pictures but the longer i stare at them the more i hate them 😂,1,0,1
75,0,"Every year, I care less and less about the #VSFashionShow. Idk if it's because I'm growing up so the fantasy wears… https://t.co/iG5HWObjQe",0,0,0
76,0,@laaficion @vicky_rayada @WillieMty Haters gonna hate #ElNorteManda,0,0,1
77,2,"RT @hnnhbhmllr: Wow, I hate the internet. https://t.co/S9qaXzncJW",0,0,1
78,0,@winelesbian @xoloitzcuintle i would literally never stop crying!!! i hate them i'm overinvested,1,0,1
79,0,@nytimes Hate Stephen Colbert!!!!,0,0,1
80,919,RT @Benoo_Brown: once you've told your mum you hate someone there's no going back,1,0,1
81,23,"RT @openculture: Moebius Gives 18 Wisdom-Filled Tips to Aspiring Artists (1996). 

#1 When you draw, you must first cleanse yourself of dee…",0,0,1
82,0,Some people are ganna love you for being you ... some people are ganna hate you for being you.,1,0,0
83,41,"RT @ramzpaul: ""To end Jewish supremacy, Jewish women must stop sleeping with Jewish men.""

That would result in an instant ban from social…",0,0,1
84,45,"RT @mattzollerseitz: That thing I keep complaining about, where TV networks &amp; streaming platforms chop the sides off movies for no good rea…",0,0,1
85,1160,"RT @666bitchcraft: Me in Brazil: jfc nothing works here I hate this fucking place

Me anywhere else: my country is the fucking BEST, Gisele…",0,0,1
86,0,@Carol_A_Mahoney Haha an ignorant dumbass like you would call me a nazi. You should know I'm Hispanic. Not that it… https://t.co/uWbJBNExte,0,0,1
87,0,I hate being bipolar young😔. One min I’m straight da next min I feel like da world boutta end💯🤦🏾‍♂️,0,0,0
88,0,"Eminem’s new album comes out Dec 15th! l hope he’s as vulgar, homophobic, misogynistic, and everything else that pe… https://t.co/9kIxeuxpoh",0,0,0
89,3090,RT @taesupremacist: how can ppl hate taehyung when he's the most sweetest guy w the purest soul ever that loves his family and friends so m…,0,0,1
90,0,"#MeLateDecir 

I hate you",1,0,0
91,316,"RT @xperfectlypay: as much as i’ve been done wrong, there’s still no hate in my heart.",0,0,1
92,1867,"RT @Aripags25: Me in Atlanta: I hate this traffic and every sports team sucks 

Me anywhere else: fuckin ATL hoe, I only eat cfa, I basical…",0,0,1
93,300,"RT @fehewoes: i really hate to beg but, i'm in desperate need for cash right now. my brother has cancer, birthdays and christmas is coming…",0,0,1
94,0,i hate showing anger so when i get pissed i hold in my emotions and my heart beats really fast and my breath gets really short,0,0,0
95,0,I fucking hate when you disturbing my operation.. Next time you do all my job bastard,0,0,0
96,76,RT @fertilizedllama: i wonder how many strangers hate me bc of how someone else described me to them,0,0,1
97,0,"Hate when you’re at the store, and there’s a complicated customer right in front of you in line..",0,0,0
98,0,@9AsvpNin01 Not to hate.... but that was all kinds of a carry. An I woulda called it had he pulled that on me!,0,0,1
99,0,"Damn, one spot only..fuck em..haters gonna hate😡💀Buckeye Nation ain't sweatin or trippin #NextVictim",0,0,0
100,10580,"RT @marie_brownsuga: i hate arguing through text. let's argue in person so, i can knock yo ass out.",0,0,1
101,0,Smh hate myself sometimes,0,1,0
102,0,Skip is starting to hate lebron even more 😳,0,0,0
103,572,"RT @__JonathanJay: i hate arguing through text. let's argue in person so, i can choke slam u thru a table.",0,0,1
104,0,I hate when I get upset &amp; someone says “dude chill out”... it makes me feel so small &amp; stupid for feeling the way I do.,0,0,0
105,4439,"RT @dismiss: you always say you hate to see me hurt, and you hate to see me cry. so all those times that you hurt me, did you close your ey…",0,0,1
106,0,I hate school,0,0,0
