,RetweetCount,Tweet,PronounFlag,UnknownFlag,AtSymbolFlag
0,1,RT @BMEV209: I’m ready to receive all someone’s love shit wyaaaaaaaaa 🤷🏼‍♀️👀 https://t.co/gnk6kIbUCE,0,0,1
1,0,Childish Gambino DESERVES a grammy. period. Awaken My Love is amazing,0,0,0
2,0,is it gay if i love both of my best friends and we're also all dating,0,0,0
3,2,"RT @loganharting: so proud of my best friend for choosing Ohio University, can't wait to see you do big things and visit you!!! i love you!…",1,0,1
4,0,"@hollynrawls_ Girl I love you :,-)",1,0,1
5,0,"@MicNice ..put in. RT I've watched grow since being almost an OG member (I think, first thousand) and I obviously l… https://t.co/6opztUiFUU",0,0,1
6,0,Dats You Brother Nigga??...Said You Love Da Nigga???...HOW YOU WATCH A NIGGA STAY BROKE???,0,0,0
7,6,RT @RealJadenGray: I'm really starting to love the gym💯🙌🏽,0,0,1
8,1,"RT @PirateOfTime: I enjoyed myself with my peoples today, much love bitches 💜",0,0,1
9,0,Please RT  #interiordesign #decoration #architecture #home By Lassen Love https://t.co/YqB4YT1fUQ https://t.co/vgARe7H1Gv,0,0,0
10,0,@bts_love_myself BTS😘,0,0,1
11,27,"RT @AmazingiGrace: Fill your mind with truth, your heart with love, your life with service.",0,0,1
12,0,"A8. The ashes of my family friend who taught me to love gardening, after he passed away &amp; was cremated. I mixed the… https://t.co/oWeJpyxmGY",0,0,0
13,94,"RT @The_IgboBoy: I love &amp; support Ally
I love &amp; support Normani
I love &amp; support Lauren
I love &amp; support Dinah",0,0,1
14,16,"RT @WeLoveDogsUSA: This man had to be away from his dog for 2 months and he missed her SO much!
There is so much love in this photograph; I…",0,0,1
15,0,講義暇すぎ,0,0,0
16,43,RT @coomiky: ようやく帰宅して放送されたLOVEマシーンみてるけどこれほんとやばい…中島健人くん、90年代生まれの女の子が憧れてきたモー娘を完全に体現してる…！中澤裕子姐さんの個性も安倍なっちのアイドル性もゴマキの衝撃もぜんぶぜんぶ詰まってるよ！！！最高！！！！！,0,0,1
17,236,"RT @WhennBoys: The main reason why ppl have a hard time moving on is, because deep down we want the person we fell in love with to return a…",0,0,1
18,62159,RT @heavenbrat: sex is cool but have u ever heard the laugh of someone u love n felt like ur entire heart was sent to heaven n back,0,0,1
19,0,"#2017年もあと少しなのでいいねしてくれた人に一言 

やります！

あとこれ相互さんのとか聞いてみたい！
#2017年推しに言われた忘れられない一言 

ちなみに私はあんまり話せないので、「ありがとう～～」って言われただけで舞い上がっていたりします。笑",0,0,0
20,1,RT @heardbarry: @Funkess @RandyNewman @DukeLaRue @DesFume @DanceQueendq @HoraceWhip @garymoore821 @paulcook333 @zootswings @farley697 @tbmo…,0,0,1
21,277,"RT @wnsdls: Love is like a movie 모두 뻔해
나도 그렇게 널 사랑하길 원해 https://t.co/C3N7cpzDuL",0,0,1
22,2058,RT @djsnake: Love Army 💜💙💚 https://t.co/u7TGmbVmte,0,0,1
23,0,hey guys ! I’m so sorry for not being active here but now I’m going to be active love you guys 💛!,1,0,0
24,0,@HeroHedgie @JovialNightz Nice picture of Sonic the hedgehog! I love Sonic!,0,0,1
25,53485,"RT @bts_love_myself: 세상을 더 좋은 곳으로 만들기 위해 방탄소년단이 유니세프와 함께 하는 캠페인 LOVE MYSELF.

LOVE MYSELF 캠페인에 대한 더 자세한 내용을 찾아보세요.

https://t.co/uYj0awaarE…",0,1,1
26,0,"@McAllisterDen @ericmetaxas Ironically it is precisely the love and idolatry of ""material things,"" namely earthly p… https://t.co/cYTK91iZVT",0,0,1
27,9261,RT @tiaramvrie: Having male friends with no ulterior motives is so convenient. I value all two of y’all.,0,0,1
28,861,"RT @SPIRITHUEL: Your soul
is your best friend.
Treat it with care,
nurture it with growth,
and feed it with love.

Ashourina Yada",0,0,1
29,0,@JMVala_Trades Love to see some long term analysis!! Except $MON is evil lol,0,0,1
30,0,"Gf of the year award goes to @sweeney1231 for bringing me in n out to my work 
Thanks love",0,0,1
31,0,"honestly still enraged by the youtube comment that called ""when love is gone"" from a muppet christmas carol the mos… https://t.co/ZUIMwr9GBE",0,0,0
32,0,|: 22 hOURS LATER BUT I LOVE YOU MORE BABE https://t.co/ciBsTTCHs3,1,0,0
33,88,RT @OPPAI_Lover69: Do you love it when @Hitomi_official is the one in control during sex ♥♥♥? Check out this newer AV where she will take y…,0,0,1
34,170,RT @Mark_Beech: Much-referenced stage review from this time last year on Lucy Kirkwood's The Children @royalcourt https://t.co/gDAbcqyG7d,0,0,1
35,2,RT @jiIovebot: we love intellectuals! https://t.co/4Hz81Mciaf,0,0,1
